Sample,Polarization,Donor,Sample_Name
GSM4957511,M0,1,Donor1 M0
GSM4957512,M1,1,Donor1 M1
GSM4957513,M2 (IL10),1,Donor1 M2IL10
GSM4957514,M2 (IL4),1,Donor1 M2IL4
GSM4957515,TAM-like,1,Donor1 TAMlike
GSM4957516,M0,2,Donor2 M0
GSM4957517,M1,2,Donor2 M1
GSM4957518,M2 (IL10),2,Donor2 M2IL10
GSM4957519,M2 (IL4),2,Donor2 M2IL4
GSM4957520,TAM-like,2,Donor2 TAMlike
GSM4957521,M0,3,Donor3 M0
GSM4957522,M1,3,Donor3 M1
GSM4957523,M2 (IL10),3,Donor3 M2IL10
GSM4957524,M2 (IL4),3,Donor3 M2IL4
GSM4957525,TAM-like,3,Donor3 TAMlike
