GeneID	GSM4957511	GSM4957512	GSM4957513	GSM4957514	GSM4957515	GSM4957516	GSM4957517	GSM4957518	GSM4957519	GSM4957520	GSM4957521	GSM4957522	GSM4957523	GSM4957524	GSM4957525
100287102	3	1	1	2	1	3	0	1	1	2	8	3	5	6	4
653635	517	421	476	486	464	415	369	233	167	575	348	382	595	260	501
102466751	21	16	26	22	28	15	13	4	6	23	21	13	26	10	25
107985730	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	56	69	90	31	94	111	92	74	44	180	79	79	177	50	92
729737	141	449	1086	56	601	305	811	567	71	512	574	740	1900	100	489
102725121	2	1	1	1	0	1	0	0	1	1	6	9	7	6	5
102723897	605	450	515	511	545	356	311	211	164	513	463	442	694	354	631
102465909	12	9	13	12	15	8	10	4	5	14	10	6	18	5	15
107985721	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
112268260	8	10	5	6	14	35	8	15	16	51	15	10	22	12	17
729759	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100132287	76	127	277	51	142	96	485	169	35	179	129	336	436	77	166
105378947	0	0	1	1	0	1	1	1	3	3	1	1	3	1	1
101928626	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
113219467	8115	6038	5342	6849	8718	9866	4847	4694	4800	13127	9438	5807	11421	8549	11571
81399	2	1	2	1	1	1	3	2	0	2	1	4	3	1	2
100133331	99	148	277	77	144	110	633	159	52	203	142	471	422	100	202
107984841	17	18	44	13	21	16	87	22	5	31	23	62	68	18	29
107984847	25	31	50	18	32	18	125	24	6	32	31	92	96	25	27
107984849	1	6	14	1	7	3	9	6	1	5	4	10	20	0	4
100288069	20	27	36	11	31	22	48	26	5	50	34	57	67	22	34
105378580	9	11	16	8	32	15	28	11	11	21	23	36	28	27	11
400728	9	10	21	4	8	13	12	8	4	14	13	9	19	17	20
79854	26	39	37	19	26	27	19	12	6	25	21	14	21	14	20
643837	282	193	866	283	219	277	382	253	238	253	269	445	614	403	159
107984850	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0
284593	4	2	3	3	3	5	3	4	3	7	7	4	5	5	3
284600	0	0	0	2	0	1	2	0	2	0	0	0	3	2	1
100130417	0	0	0	0	0	0	0	2	2	0	1	0	1	1	0
107985728	0	0	0	0	0	1	0	0	4	0	4	0	4	7	0
148398	119	94	93	204	71	113	67	61	101	83	100	53	68	126	66
26155	1835	1193	1470	2971	949	1751	1089	797	1426	1193	1393	803	1317	2084	1060
339451	244	176	217	220	308	223	115	140	74	405	215	176	321	163	313
84069	43	70	30	44	53	14	288	19	1	9	23	188	24	15	17
84808	6	9	3	6	6	3	32	4	0	3	2	29	3	1	3
57801	0	1	0	3	0	3	664	6	55	2	18	174	18	45	4
9636	294	1409	190	415	95	312	54421	185	295	201	228	32876	204	341	168
375790	4520	4784	2231	5811	1931	5712	14160	1669	4618	3088	5188	13345	4239	6444	3460
100288175	19	17	10	6	20	73	17	18	29	29	56	10	37	40	26
112267874	4	1	1	1	4	10	3	2	2	2	11	2	3	5	3
105378948	21	10	8	10	19	57	18	13	19	22	37	14	28	29	26
401934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54991	323	219	203	252	192	251	114	128	164	248	239	137	248	230	274
254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
254173	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0
8784	50	68	14	168	98	76	51	10	640	35	160	91	20	702	63
7293	122	261	18	264	87	80	1083	8	3970	48	306	1247	48	4781	60
51150	6289	4370	5014	7459	4754	6706	6493	3028	5180	6026	5204	5729	7003	7316	4578
126792	812	557	713	1185	492	827	665	361	651	576	605	358	579	901	389
388581	1	2	2	0	4	0	5	0	0	6	0	6	6	7	11
118424	1348	979	1117	1480	1055	1357	992	751	820	1523	1184	1026	1364	1390	1040
101928895	18	9	12	8	33	12	7	7	2	28	17	5	16	8	63
6339	30	12	27	19	78	24	5	3	13	102	27	8	29	16	111
116983	1458	599	983	1676	775	1441	557	765	840	1597	1486	558	1737	1220	1479
102465434	1	0	1	1	2	3	1	0	1	1	0	0	1	1	1
109623456	5	1	6	8	6	4	2	2	0	1	3	1	4	4	7
126789	312	165	249	425	210	300	163	157	277	291	280	158	278	360	253
54973	1628	987	1411	1671	1289	1514	1366	806	953	1823	1098	1010	1536	1304	1293
102465435	2	1	1	5	0	1	0	1	1	1	3	1	3	2	2
80772	898	476	668	789	574	826	402	432	321	619	658	421	871	515	636
83756	10	11	11	10	10	8	7	7	6	17	8	6	17	6	13
1855	881	545	771	1071	737	928	516	419	607	1000	836	609	1212	923	863
102466740	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1
54587	69	28	31	57	92	93	37	38	41	133	107	32	110	87	212
54998	1759	1046	1262	1965	842	1772	1003	789	1146	1290	1402	903	1480	1653	1068
81669	2117	1662	1757	1983	2702	2644	2463	1297	1554	4707	3002	2961	3895	3030	3572
148413	547	408	516	682	428	519	507	255	248	561	401	456	517	519	407
55052	1329	758	959	1569	604	1336	791	741	739	1186	1088	829	1167	1366	695
107984868	1	1	0	1	2	0	0	0	0	4	0	2	0	0	0
441869	3	0	1	1	3	1	0	0	0	5	1	0	2	0	4
105378585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	1	0	2	0	0	0	0	2	4	3	0
107985729	0	0	0	0	0	0	1	0	0	0	0	2	1	2	0
64856	26	10	27	28	39	13	65	30	5	21	39	39	129	38	53
219293	46	22	37	74	13	35	27	20	39	18	51	25	36	74	16
83858	566	413	588	1210	207	559	488	332	814	315	575	331	481	1073	261
55210	669	352	501	1176	178	597	328	285	646	320	547	213	433	899	231
339453	1	0	2	0	3	0	0	0	0	2	3	0	1	1	0
29101	3003	2211	2145	3233	1894	3000	1541	1450	1589	3060	2492	2042	2782	2782	1945
643988	295	91	159	401	104	435	37	144	162	317	394	46	438	301	285
105378586	11	1	8	6	9	24	5	9	7	19	15	4	16	5	18
142678	816	474	463	508	1146	790	498	335	296	1577	867	741	1109	498	1597
8510	37	31	25	27	25	29	45	19	21	42	23	31	24	19	20
984	1876	1381	1515	1708	1123	1685	2147	825	823	1754	1392	1864	1945	1533	1359
728661	3840	3274	2964	2389	4854	3725	3144	1516	1214	7060	3429	4260	6177	2475	6311
8511	16	11	5	5	8	5	17	5	1	14	6	14	7	2	9
728642	1330	980	1034	1143	791	1268	1726	599	647	1404	1068	1466	1485	1156	1122
9906	1377	1084	1033	843	1628	1229	1169	536	379	2544	1245	1390	2011	733	1945
112268218	378	398	206	234	379	524	699	173	217	713	407	710	416	254	606
65220	6131	6885	3303	4075	6148	9548	14829	3134	3692	11956	6663	13141	7719	4713	9293
2782	20927	16130	18562	21837	14320	21493	15304	12572	11810	17874	15730	16262	23198	17104	11470
105378949	4	4	2	6	6	6	8	1	4	5	1	1	8	9	11
163688	4	3	2	2	4	2	0	0	0	2	5	1	8	3	0
339456	5	0	0	0	4	7	1	4	6	4	2	0	2	20	1
85452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
107984872	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
105378589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2563	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
105378590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5590	25	22	25	23	31	31	18	13	13	25	19	21	36	18	33
100506504	4	2	2	4	2	2	0	2	0	4	0	3	8	7	4
199990	828	444	641	685	569	666	285	400	267	823	477	376	810	324	786
112268219	112	87	79	91	110	88	75	43	33	86	54	66	79	48	92
105378593	6	0	2	4	3	2	0	2	0	2	3	1	3	2	3
6497	1834	1414	1731	4467	3398	1565	152	863	887	3181	1147	370	1277	1472	1929
79906	55	36	47	78	70	43	26	13	38	55	36	24	33	52	52
100129534	28	16	17	25	22	16	5	7	13	16	20	5	19	18	19
11079	4653	3151	3975	5079	3244	4843	2879	2843	2502	4453	3697	2850	4740	4011	2657
